Survey Year,Institution Name,Match,Classification Name,Sanction Name,Revenues Men's Team
2022,Abilene Christian University,Abilene Christian,2,NCAA,2458334
2021,Abilene Christian University,Abilene Christian,2,NCAA,2853797
2020,Abilene Christian University,Abilene Christian,2,NCAA,1737429
2019,Abilene Christian University,Abilene Christian,2,NCAA,1604471
2018,Abilene Christian University,Abilene Christian,2,NCAA,1178426
2017,Abilene Christian University,Abilene Christian,2,NCAA,1363430
2016,Abilene Christian University,Abilene Christian,2,NCAA,1143099
2015,Abilene Christian University,Abilene Christian,2,NCAA,1109152
2014,Abilene Christian University,Abilene Christian,2,NCAA,1064750
2013,Abilene Christian University,Abilene Christian,2,NCAA,1061256
2022,Alabama A & M University,Alabama A&M,2,NCAA,1196804
2021,Alabama A & M University,Alabama A&M,2,NCAA,1450494
2020,Alabama A & M University,Alabama A&M,2,NCAA,1107100
2019,Alabama A & M University,Alabama A&M,2,NCAA,1382143
2018,Alabama A & M University,Alabama A&M,2,NCAA,1591652
2017,Alabama A & M University,Alabama A&M,2,NCAA,706508
2016,Alabama A & M University,Alabama A&M,2,NCAA,824939
2015,Alabama A & M University,Alabama A&M,2,NCAA,1211095
2014,Alabama A & M University,Alabama A&M,2,NCAA,875442
2013,Alabama A & M University,Alabama A&M,2,NCAA,1058243
2022,Alabama State University,Alabama St.,2,NCAA,1068356
2021,Alabama State University,Alabama St.,2,NCAA,832435
2020,Alabama State University,Alabama St.,2,NCAA,849103
2019,Alabama State University,Alabama St.,2,NCAA,966118
2018,Alabama State University,Alabama St.,2,NCAA,992694
2017,Alabama State University,Alabama St.,2,NCAA,890245
2016,Alabama State University,Alabama St.,2,NCAA,815998
2015,Alabama State University,Alabama St.,2,NCAA,977453
2014,Alabama State University,Alabama St.,2,NCAA,933140
2013,Alabama State University,Alabama St.,2,NCAA,980598
2022,Alcorn State University,Alcorn St.,2,NCAA,749038
2021,Alcorn State University,Alcorn St.,2,NCAA,640264
2020,Alcorn State University,Alcorn St.,2,NCAA,561304
2019,Alcorn State University,Alcorn St.,2,NCAA,548863
2018,Alcorn State University,Alcorn St.,2,NCAA,533743
2017,Alcorn State University,Alcorn St.,2,NCAA,550993
2016,Alcorn State University,Alcorn St.,2,NCAA,465614
2015,Alcorn State University,Alcorn St.,2,NCAA,629683
2014,Alcorn State University,Alcorn St.,2,NCAA,652804
2013,Alcorn State University,Alcorn St.,2,NCAA,547439
2022,American University,American,3,NCAA,2656602
2021,American University,American,3,NCAA,2419672
2020,American University,American,3,NCAA,1658774
2019,American University,American,3,NCAA,2004795
2018,American University,American,3,NCAA,2072510
2017,American University,American,3,NCAA,2065691
2016,American University,American,3,NCAA,1999512
2015,American University,American,3,NCAA,1934639
2014,American University,American,3,NCAA,1848680
2013,American University,American,3,NCAA,1845008
2022,Appalachian State University,Appalachian St.,1,NCAA,1993894
2021,Appalachian State University,Appalachian St.,1,NCAA,1788397
2020,Appalachian State University,Appalachian St.,1,NCAA,1473653
2019,Appalachian State University,Appalachian St.,1,NCAA,1978717
2018,Appalachian State University,Appalachian St.,1,NCAA,1952593
2017,Appalachian State University,Appalachian St.,1,NCAA,1713547
2016,Appalachian State University,Appalachian St.,1,NCAA,1706179
2015,Appalachian State University,Appalachian St.,1,NCAA,1588454
2014,Appalachian State University,Appalachian St.,1,NCAA,1462971
2013,Appalachian State University,Appalachian St.,1,NCAA,1295407
2022,Auburn University,Auburn,1,NCAA,19199986
2021,Auburn University,Auburn,1,NCAA,17007845
2020,Auburn University,Auburn,1,NCAA,9917360
2019,Auburn University,Auburn,1,NCAA,12258411
2018,Auburn University,Auburn,1,NCAA,15593947
2017,Auburn University,Auburn,1,NCAA,11214964
2016,Auburn University,Auburn,1,NCAA,9900612
2015,Auburn University,Auburn,1,NCAA,11662504
2014,Auburn University,Auburn,1,NCAA,11185840
2013,Auburn University,Auburn,1,NCAA,10245526
2022,Austin Peay State University,Austin Peay,2,NCAA,2213450
2021,Austin Peay State University,Austin Peay,2,NCAA,2093118
2020,Austin Peay State University,Austin Peay,2,NCAA,1721418
2019,Austin Peay State University,Austin Peay,2,NCAA,525037
2018,Austin Peay State University,Austin Peay,2,NCAA,2338400
2017,Austin Peay State University,Austin Peay,2,NCAA,2021134
2016,Austin Peay State University,Austin Peay,2,NCAA,1362961
2015,Austin Peay State University,Austin Peay,2,NCAA,1338794
2014,Austin Peay State University,Austin Peay,2,NCAA,1162787
2013,Austin Peay State University,Austin Peay,2,NCAA,1096183
2022,Ball State University,Ball St.,1,NCAA,2679287
2021,Ball State University,Ball St.,1,NCAA,2302745
2020,Ball State University,Ball St.,1,NCAA,1544557
2019,Ball State University,Ball St.,1,NCAA,1877688
2018,Ball State University,Ball St.,1,NCAA,1975432
2017,Ball State University,Ball St.,1,NCAA,1994305
2016,Ball State University,Ball St.,1,NCAA,1922864
2015,Ball State University,Ball St.,1,NCAA,1905730
2014,Ball State University,Ball St.,1,NCAA,1831427
2013,Ball State University,Ball St.,1,NCAA,1801133
2022,Baylor University,Baylor,1,NCAA,16055194
2021,Baylor University,Baylor,1,NCAA,13308914
2020,Baylor University,Baylor,1,NCAA,10599030
2019,Baylor University,Baylor,1,NCAA,9790607
2018,Baylor University,Baylor,1,NCAA,9860432
2017,Baylor University,Baylor,1,NCAA,9185513
2016,Baylor University,Baylor,1,NCAA,9097264
2015,Baylor University,Baylor,1,NCAA,8837724
2014,Baylor University,Baylor,1,NCAA,8194470
2013,Baylor University,Baylor,1,NCAA,8182489
2022,Belmont University,Belmont,3,NCAA,3635804
2021,Belmont University,Belmont,3,NCAA,3325958
2020,Belmont University,Belmont,3,NCAA,2386455
2019,Belmont University,Belmont,3,NCAA,2739717
2018,Belmont University,Belmont,3,NCAA,5129856
2017,Belmont University,Belmont,3,NCAA,3194309
2016,Belmont University,Belmont,3,NCAA,2688559
2015,Belmont University,Belmont,3,NCAA,2951040
2014,Belmont University,Belmont,3,NCAA,2487569
2013,Belmont University,Belmont,3,NCAA,2942357
2022,Boise State University,Boise St.,1,NCAA,4719560
2021,Boise State University,Boise St.,1,NCAA,5026638
2020,Boise State University,Boise St.,1,NCAA,2826726
2019,Boise State University,Boise St.,1,NCAA,5198696
2018,Boise State University,Boise St.,1,NCAA,5146160
2017,Boise State University,Boise St.,1,NCAA,4184145
2016,Boise State University,Boise St.,1,NCAA,3688228
2015,Boise State University,Boise St.,1,NCAA,4003168
2014,Boise State University,Boise St.,1,NCAA,3920228
2013,Boise State University,Boise St.,1,NCAA,3319076
2022,Boston College,Boston College,1,NCAA,10074076
2021,Boston College,Boston College,1,NCAA,8333993
2020,Boston College,Boston College,1,NCAA,5962476
2019,Boston College,Boston College,1,NCAA,7107365
2018,Boston College,Boston College,1,NCAA,7225974
2017,Boston College,Boston College,1,NCAA,7033947
2016,Boston College,Boston College,1,NCAA,6814030
2015,Boston College,Boston College,1,NCAA,6947674
2014,Boston College,Boston College,1,NCAA,6805525
2013,Boston College,Boston College,1,NCAA,5436156
2022,Boston University,Boston University,3,NCAA,3017607
2021,Boston University,Boston University,3,NCAA,2956614
2020,Boston University,Boston University,3,NCAA,2266211
2019,Boston University,Boston University,3,NCAA,2814251
2018,Boston University,Boston University,3,NCAA,2669686
2017,Boston University,Boston University,3,NCAA,2554475
2016,Boston University,Boston University,3,NCAA,1604601
2015,Boston University,Boston University,3,NCAA,1758899
2014,Boston University,Boston University,3,NCAA,2309050
2013,Boston University,Boston University,3,NCAA,2383717
2022,Bowling Green State University-Main Campus,Bowling Green,1,NCAA,3266592
2021,Bowling Green State University-Main Campus,Bowling Green,1,NCAA,2450602
2020,Bowling Green State University-Main Campus,Bowling Green,1,NCAA,1832777
2019,Bowling Green State University-Main Campus,Bowling Green,1,NCAA,2524268
2018,Bowling Green State University-Main Campus,Bowling Green,1,NCAA,2544177
2017,Bowling Green State University-Main Campus,Bowling Green,1,NCAA,2231678
2016,Bowling Green State University-Main Campus,Bowling Green,1,NCAA,2580920
2015,Bowling Green State University-Main Campus,Bowling Green,1,NCAA,2389470
2014,Bowling Green State University-Main Campus,Bowling Green,1,NCAA,2156336
2013,Bowling Green State University-Main Campus,Bowling Green,1,NCAA,1631570
2022,Bradley University,Bradley,3,NCAA,4499983
2021,Bradley University,Bradley,3,NCAA,3412945
2020,Bradley University,Bradley,3,NCAA,2680591
2019,Bradley University,Bradley,3,NCAA,3412037
2018,Bradley University,Bradley,3,NCAA,3778660
2017,Bradley University,Bradley,3,NCAA,3555837
2016,Bradley University,Bradley,3,NCAA,3359417
2015,Bradley University,Bradley,3,NCAA,3128419
2014,Bradley University,Bradley,3,NCAA,3762890
2013,Bradley University,Bradley,3,NCAA,3677011
2022,Bryant University,Bryant,2,NCAA,2569775
2021,Bryant University,Bryant,2,NCAA,2132468
2020,Bryant University,Bryant,2,NCAA,1687340
2019,Bryant University,Bryant,2,NCAA,1675827
2018,Bryant University,Bryant,2,NCAA,1883381
2017,Bryant University,Bryant,2,NCAA,1883608
2016,Bryant University,Bryant,2,NCAA,1943732
2015,Bryant University,Bryant,2,NCAA,1796753
2014,Bryant University,Bryant,2,NCAA,1777394
2013,Bryant University,Bryant,2,NCAA,1699101
2022,Bucknell University,Bucknell,2,NCAA,3229655
2021,Bucknell University,Bucknell,2,NCAA,2388282
2020,Bucknell University,Bucknell,2,NCAA,2008060
2019,Bucknell University,Bucknell,2,NCAA,2331882
2018,Bucknell University,Bucknell,2,NCAA,2624075
2017,Bucknell University,Bucknell,2,NCAA,2776631
2016,Bucknell University,Bucknell,2,NCAA,2544585
2015,Bucknell University,Bucknell,2,NCAA,2172546
2014,Bucknell University,Bucknell,2,NCAA,2120705
2013,Bucknell University,Bucknell,2,NCAA,2051428
2022,California Polytechnic State University-San Luis Obispo,Cal Poly,2,NCAA,2299883
2021,California Polytechnic State University-San Luis Obispo,Cal Poly,2,NCAA,2091234
2020,California Polytechnic State University-San Luis Obispo,Cal Poly,2,NCAA,1919812
2019,California Polytechnic State University-San Luis Obispo,Cal Poly,2,NCAA,2236551
2018,California Polytechnic State University-San Luis Obispo,Cal Poly,2,NCAA,2181492
2017,California Polytechnic State University-San Luis Obispo,Cal Poly,2,NCAA,2045881
2016,California Polytechnic State University-San Luis Obispo,Cal Poly,2,NCAA,1973618
2015,California Polytechnic State University-San Luis Obispo,Cal Poly,2,NCAA,2095472
2014,California Polytechnic State University-San Luis Obispo,Cal Poly,2,NCAA,1794347
2013,California Polytechnic State University-San Luis Obispo,Cal Poly,2,NCAA,1664846
2022,California State University-Bakersfield,Cal St. Bakersfield,3,NCAA,2835333
2021,California State University-Bakersfield,Cal St. Bakersfield,3,NCAA,2335821
2020,California State University-Bakersfield,Cal St. Bakersfield,3,NCAA,2015352
2019,California State University-Bakersfield,Cal St. Bakersfield,3,NCAA,2975591
2018,California State University-Bakersfield,Cal St. Bakersfield,3,NCAA,2714877
2017,California State University-Bakersfield,Cal St. Bakersfield,3,NCAA,2172991
2016,California State University-Bakersfield,Cal St. Bakersfield,3,NCAA,2092139
2015,California State University-Bakersfield,Cal St. Bakersfield,3,NCAA,1697054
2014,California State University-Bakersfield,Cal St. Bakersfield,3,NCAA,1510964
2013,California State University-Bakersfield,Cal St. Bakersfield,3,NCAA,1575651
2022,California State University-Fresno,Fresno St.,1,NCAA,3818506
2021,California State University-Fresno,Fresno St.,1,NCAA,3663045
2020,California State University-Fresno,Fresno St.,1,NCAA,2424425
2019,California State University-Fresno,Fresno St.,1,NCAA,3221377
2018,California State University-Fresno,Fresno St.,1,NCAA,3642878
2017,California State University-Fresno,Fresno St.,1,NCAA,3352520
2016,California State University-Fresno,Fresno St.,1,NCAA,3291010
2015,California State University-Fresno,Fresno St.,1,NCAA,3234934
2014,California State University-Fresno,Fresno St.,1,NCAA,2319851
2013,California State University-Fresno,Fresno St.,1,NCAA,2332403
2022,California State University-Fullerton,Cal St. Fullerton,3,NCAA,2113578
2021,California State University-Fullerton,Cal St. Fullerton,3,NCAA,2057901
2020,California State University-Fullerton,Cal St. Fullerton,3,NCAA,1417316
2019,California State University-Fullerton,Cal St. Fullerton,3,NCAA,1789031
2018,California State University-Fullerton,Cal St. Fullerton,3,NCAA,2114807
2017,California State University-Fullerton,Cal St. Fullerton,3,NCAA,1918750
2016,California State University-Fullerton,Cal St. Fullerton,3,NCAA,1685827
2015,California State University-Fullerton,Cal St. Fullerton,3,NCAA,1480600
2014,California State University-Fullerton,Cal St. Fullerton,3,NCAA,1416737
2013,California State University-Fullerton,Cal St. Fullerton,3,NCAA,1410830
2022,California State University-Long Beach,Long Beach St.,3,NCAA,2507334
2021,California State University-Long Beach,Long Beach St.,3,NCAA,2596004
2020,California State University-Long Beach,Long Beach St.,3,NCAA,1844213
